date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:44:59	5588/5588	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
19:44:59	12520/12520	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2017:57:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
19:44:59	15280/15280	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2017:57:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
19:44:59	6868/6868	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
19:45:00	9684/9684	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2017:57:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
19:45:00	7376/7376	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
19:45:00	8444/8444	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
19:45:00	5804/5804	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
19:45:01	14960/14960	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
19:45:01	16112/16112	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Feb%202023%2018:07:03%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	C:/Users/Santiago/Desktop/definitivo/scrapy-classCentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
